experiment_name,dataset,model,activation,test_loss,test_accuracy,test_top5_accuracy,test_precision,test_recall,training_time,total_params,trainable_params
cifar10_resnet18_relu,cifar10,resnet18,relu,1.9154224395751955,0.7788000106811523,0.979099988937378,0.7818126678466797,0.7771999835968018,732.6262309551239,11196042,11186442
cifar10_resnet18_sigmoid,cifar10,resnet18,sigmoid,1.0678815841674805,0.755299985408783,0.9800000190734864,0.7681742906570435,0.7439000010490417,705.0950517654419,11196042,11186442
cifar10_resnet18_tanh,cifar10,resnet18,tanh,1.6545088291168213,0.7476000189781189,0.977299988269806,0.7524752616882324,0.7447999715805054,545.1853094100952,11196042,11186442
cifar10_resnet18_swish,cifar10,resnet18,swish,1.652209758758545,0.774399995803833,0.9807000160217284,0.7788762450218201,0.7720999717712402,358.21649289131165,11196042,11186442
cifar10_resnet18_gelu,cifar10,resnet18,gelu,1.4353569746017456,0.7730000019073486,0.9782999753952026,0.7802554368972778,0.7698000073432922,368.21880984306335,11196042,11186442
cifar10_resnet50_relu,cifar10,resnet50,relu,1.890614867210388,0.7261999845504761,0.970300018787384,0.7330624461174011,0.7217000126838684,868.5981066226959,23608202,23555082
cifar10_resnet50_sigmoid,cifar10,resnet50,sigmoid,9.143965721130373,0.1000000014901161,0.5,0.1000000014901161,0.1000000014901161,506.0783221721649,23608202,23555082
cifar10_resnet50_tanh,cifar10,resnet50,tanh,1.951131820678711,0.2741000056266784,0.8198999762535095,0.4893964231014251,0.0900000035762786,265.93524074554443,23608202,23555082
cifar10_resnet50_swish,cifar10,resnet50,swish,2.5823099613189697,0.7239999771118164,0.9679999947547911,0.7269338965415955,0.7217000126838684,1165.1499860286713,23608202,23555082
cifar10_resnet50_gelu,cifar10,resnet50,gelu,1.653938889503479,0.73580002784729,0.9760000109672546,0.7440676093101501,0.7305999994277954,960.4944627285004,23608202,23555082
cifar10_resnet34_relu,cifar10,resnet34,relu,1.6953953504562378,0.7742000222206116,0.977299988269806,0.7780241966247559,0.7717999815940857,914.330233335495,21315338,21298314
cifar10_resnet34_sigmoid,cifar10,resnet34,sigmoid,7.2203264236450195,0.1000000014901161,0.5,0.1000000014901161,0.1000000014901161,361.7602548599243,21315338,21298314
cifar10_resnet34_tanh,cifar10,resnet34,tanh,1.3302172422409058,0.7192999720573425,0.9670000076293944,0.7348759770393372,0.7081999778747559,965.4967060089112,21315338,21298314
cifar10_resnet34_swish,cifar10,resnet34,swish,2.0278120040893555,0.7742999792098999,0.9767000079154968,0.7774871587753296,0.7728999853134155,727.9356565475464,21315338,21298314
cifar10_resnet34_gelu,cifar10,resnet34,gelu,1.7915347814559937,0.7789000272750854,0.977400004863739,0.7819132804870605,0.7773000001907349,903.73162651062,21315338,21298314
cifar10_vgg11_relu,cifar10,vgg11,relu,1.283471703529358,0.840399980545044,0.989300012588501,0.8433638215065002,0.8393999934196472,621.7266449928284,28187786,28165898
cifar10_vgg11_sigmoid,cifar10,vgg11,sigmoid,1.656970500946045,0.7681000232696533,0.97680002450943,0.7731813192367554,0.7663000226020813,560.105881690979,28187786,28165898
cifar10_vgg11_tanh,cifar10,vgg11,tanh,1.6308965682983398,0.7242000102996826,0.9746999740600586,0.732857882976532,0.7192999720573425,324.35633063316345,28187786,28165898
cifar10_vgg11_swish,cifar10,vgg11,swish,1.4653730392456057,0.8374999761581421,0.989300012588501,0.8394826650619507,0.8373000025749207,577.220751285553,28187786,28165898
