experiment_name,dataset,model,activation,test_loss,test_accuracy,test_top5_accuracy,test_precision,test_recall,training_time,total_params,trainable_params
mnist_efficientnet_small_relu,mnist,efficientnet_small,relu,0.0319903865456581,0.9929999709129332,0.9998999834060668,0.9930986166000366,0.992900013923645,751.3142220973969,430964,422996
mnist_efficientnet_small_sigmoid,mnist,efficientnet_small,sigmoid,0.0272845420986413,0.9933000206947328,0.9998999834060668,0.9933993220329284,0.9933000206947328,298.44812774658203,430964,422996
mnist_efficientnet_small_tanh,mnist,efficientnet_small,tanh,0.0290625300258398,0.9930999875068665,1.0,0.9931979775428772,0.992900013923645,226.3033196926117,430964,422996
mnist_efficientnet_small_swish,mnist,efficientnet_small,swish,0.0297727286815643,0.9926999807357788,1.0,0.9930945038795472,0.9922999739646912,101.89702320098876,430964,422996
mnist_efficientnet_small_gelu,mnist,efficientnet_small,gelu,0.0330722704529762,0.9941999912261964,1.0,0.9943988919258118,0.9941999912261964,358.9354271888733,430964,422996
mnist_efficientnet_small_mish,mnist,efficientnet_small,mish,0.0291845519095659,0.9932000041007996,0.9998999834060668,0.9932986497879028,0.9930999875068665,338.66000175476074,430964,422996
fashion_mnist_resnet18_mish,fashion_mnist,resnet18,mish,0.7497211694717407,0.9261999726295472,0.996399998664856,0.9266486763954164,0.9259999990463256,789.9568660259247,11196048,11186448
fashion_mnist_efficientnet_small_relu,fashion_mnist,efficientnet_small,relu,0.5733969211578369,0.9164000153541564,0.9961000084877014,0.917476236820221,0.916100025177002,280.02259373664856,430964,422996
fashion_mnist_efficientnet_small_sigmoid,fashion_mnist,efficientnet_small,sigmoid,0.2927006483078003,0.9132999777793884,0.9987999796867372,0.9175153970718384,0.9099000096321106,267.7583515644073,430964,422996
fashion_mnist_efficientnet_small_tanh,fashion_mnist,efficientnet_small,tanh,0.78490149974823,0.9101999998092652,0.995299994945526,0.910993218421936,0.9099000096321106,262.8003582954407,430964,422996
fashion_mnist_efficientnet_small_swish,fashion_mnist,efficientnet_small,swish,0.7587448358535767,0.9106000065803528,0.9958999752998352,0.9116763472557068,0.9103999733924866,264.1781759262085,430964,422996
fashion_mnist_efficientnet_small_gelu,fashion_mnist,efficientnet_small,gelu,0.6422945857048035,0.9120000004768372,0.995299994945526,0.9122297763824464,0.9114999771118164,175.72689247131348,430964,422996
fashion_mnist_efficientnet_small_mish,fashion_mnist,efficientnet_small,mish,0.6033213138580322,0.9120000004768372,0.995199978351593,0.91304349899292,0.911400020122528,157.77778124809265,430964,422996
cifar10_alexnet_small_relu,cifar10,alexnet_small,relu,1.4400954246520996,0.784600019454956,0.9807000160217284,0.7910553216934204,0.7817999720573425,107.9810037612915,2552458,2547978
cifar10_alexnet_small_sigmoid,cifar10,alexnet_small,sigmoid,1.6070706844329834,0.7203999757766724,0.9681000113487244,0.7277449369430542,0.7145000100135803,122.78968691825868,2552458,2547978
cifar10_alexnet_small_tanh,cifar10,alexnet_small,tanh,1.6470609903335571,0.7429999709129333,0.974399983882904,0.7510175108909607,0.738099992275238,107.70074939727785,2552458,2547978
cifar10_alexnet_small_swish,cifar10,alexnet_small,swish,1.3002012968063354,0.7871999740600586,0.97979998588562,0.7937119603157043,0.7825999855995178,103.91284108161926,2552458,2547978
cifar10_alexnet_small_gelu,cifar10,alexnet_small,gelu,1.370783448219299,0.7929999828338623,0.9829999804496764,0.7990890741348267,0.7894999980926514,133.60150504112244,2552458,2547978
cifar10_alexnet_small_mish,cifar10,alexnet_small,mish,1.2688100337982178,0.7792999744415283,0.9836000204086304,0.7881312966346741,0.775600016117096,81.8618323802948,2552458,2547978
cifar10_vgg16_small_relu,cifar10,vgg16_small,relu,1.0732457637786863,0.8465999960899353,0.9889000058174132,0.8501560091972351,0.8447999954223633,292.48512053489685,3500970,3495210
cifar10_vgg16_small_sigmoid,cifar10,vgg16_small,sigmoid,1.1898610591888428,0.7882000207901001,0.977299988269806,0.7956989407539368,0.7843999862670898,292.10087299346924,3500970,3495210
cifar10_vgg16_small_tanh,cifar10,vgg16_small,tanh,1.2412142753601074,0.7935000061988831,0.9851999878883362,0.7996557950973511,0.789900004863739,255.0370817184448,3500970,3495210
cifar10_vgg16_small_swish,cifar10,vgg16_small,swish,0.8626046776771545,0.8546000123023987,0.9918000102043152,0.8596951365470886,0.8517000079154968,246.4383397102356,3500970,3495210
cifar10_vgg16_small_gelu,cifar10,vgg16_small,gelu,0.9417051672935486,0.8471999764442444,0.991100013256073,0.8518182635307312,0.8456000089645386,261.2974710464477,3500970,3495210
cifar10_vgg16_small_mish,cifar10,vgg16_small,mish,0.9710084199905396,0.8500999808311462,0.9896000027656556,0.8538624048233032,0.8478000164031982,328.78356194496155,3500970,3495210
cifar10_resnet18_relu,cifar10,resnet18,relu,1.714605450630188,0.7784000039100647,0.9807000160217284,0.7828629016876221,0.7766000032424927,478.01546812057495,11196042,11186442
cifar10_resnet18_sigmoid,cifar10,resnet18,sigmoid,1.7882851362228394,0.4749999940395355,0.8515999913215637,0.5720594525337219,0.3885999917984009,197.9088578224182,11196042,11186442
cifar10_resnet18_tanh,cifar10,resnet18,tanh,1.6430400609970093,0.7567999958992004,0.979300022125244,0.7620588541030884,0.753600001335144,430.98440074920654,11196042,11186442
cifar10_resnet18_swish,cifar10,resnet18,swish,1.7771004438400269,0.77920001745224,0.9785000085830688,0.7833669185638428,0.7771000266075134,439.1385281085968,11196042,11186442
cifar10_resnet18_gelu,cifar10,resnet18,gelu,1.7419357299804688,0.7775999903678894,0.9789999723434448,0.7821921706199646,0.7756999731063843,450.542496919632,11196042,11186442
cifar10_resnet18_mish,cifar10,resnet18,mish,1.855181097984314,0.7820000052452087,0.9789999723434448,0.7848737835884094,0.7803999781608582,456.1975700855255,11196042,11186442
cifar10_efficientnet_small_relu,cifar10,efficientnet_small,relu,1.6426101922988892,0.7114999890327454,0.9713000059127808,0.7231621146202087,0.705299973487854,109.8119089603424,430958,422990
cifar10_efficientnet_small_sigmoid,cifar10,efficientnet_small,sigmoid,1.054157018661499,0.7113000154495239,0.9753999710083008,0.7395020723342896,0.6920999884605408,137.2208800315857,430958,422990
cifar10_efficientnet_small_tanh,cifar10,efficientnet_small,tanh,2.849869728088379,0.6499000191688538,0.9631999731063844,0.6547148823738098,0.646399974822998,175.57244777679443,430958,422990
cifar10_efficientnet_small_swish,cifar10,efficientnet_small,swish,1.611540675163269,0.72079998254776,0.972100019454956,0.7305964231491089,0.715399980545044,113.68293976783752,430958,422990
cifar10_efficientnet_small_gelu,cifar10,efficientnet_small,gelu,1.6142033338546753,0.7110000252723694,0.9704999923706056,0.7233518362045288,0.7044000029563904,115.4399950504303,430958,422990
cifar10_efficientnet_small_mish,cifar10,efficientnet_small,mish,1.9601359367370603,0.7207000255584717,0.9652000069618224,0.7275683283805847,0.7160000205039978,135.70026636123657,430958,422990
mnist_alexnet_small_relu,mnist,alexnet_small,relu,0.027665168046951294,0.9954000115394592,1.0,0.9954995512962341,0.9954000115394592,321.2279179096222,2552464,2547984
mnist_alexnet_small_sigmoid,mnist,alexnet_small,sigmoid,0.024197906255722046,0.9940000176429749,1.0,0.9942982792854309,0.9940000176429749,162.0516324043274,2552464,2547984
mnist_alexnet_small_tanh,mnist,alexnet_small,tanh,0.02795993909239769,0.9941999912261963,0.9998999834060669,0.9941999912261963,0.9941999912261963,163.35135984420776,2552464,2547984
mnist_alexnet_small_swish,mnist,alexnet_small,swish,0.021635163575410843,0.9940000176429749,1.0,0.9943966269493103,0.9937999844551086,136.67195343971252,2552464,2547984
mnist_alexnet_small_gelu,mnist,alexnet_small,gelu,0.02379458211362362,0.9940000176429749,0.9998999834060669,0.9939988255500793,0.9937999844551086,158.29229140281677,2552464,2547984
mnist_alexnet_small_mish,mnist,alexnet_small,mish,0.027002133429050446,0.9943000078201294,1.0,0.9944977760314941,0.9940999746322632,180.85316014289856,2552464,2547984
mnist_vgg16_small_relu,mnist,vgg16_small,relu,0.021444687619805336,0.9958999752998352,1.0,0.9958996176719666,0.9958000183105469,372.92303109169006,3500976,3495216
mnist_vgg16_small_sigmoid,mnist,vgg16_small,sigmoid,0.02298702858388424,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,466.1639416217804,3500976,3495216
mnist_vgg16_small_tanh,mnist,vgg16_small,tanh,0.02677273005247116,0.9940999746322632,1.0,0.9941988587379456,0.9940000176429749,326.04451417922974,3500976,3495216
